tau,paired,seed,fano,detection,mean_weight,depth
6,1,1,1.7827794732270579,0.987548828125,8.89501953125,140
6,1,2,1.7827794732270579,0.987548828125,8.89501953125,140
6,1,3,1.783261851897374,0.9874267578125,8.894775390625,140
6,1,4,1.7823439221566253,0.9874267578125,8.896240234375,140
6,1,5,1.7813044160075626,0.9874267578125,8.8974609375,140
6,1,6,1.7814258122782956,0.9874267578125,8.897705078125,140
6,1,7,1.7804836940713802,0.987548828125,8.8995361328125,140
6,1,8,1.7791695983485152,0.9876708984375,8.9007568359375,140
6,1,9,1.7787766490853052,0.9876708984375,8.9017333984375,140
6,1,10,1.7789092628249537,0.9876708984375,8.9022216796875,140
6,0,1,1.7202031804449796,0.9879150390625,8.9632568359375,140
6,0,2,1.7202031804449796,0.9879150390625,8.9632568359375,140
6,0,3,1.7206839000111693,0.98779296875,8.9630126953125,140
6,0,4,1.7197608796879735,0.98779296875,8.9644775390625,140
6,0,5,1.7187192223503387,0.98779296875,8.9656982421875,140
6,0,6,1.7188376822615592,0.98779296875,8.9659423828125,140
6,0,7,1.7178876431269008,0.9879150390625,8.9677734375,140
6,0,8,1.7165734878905952,0.988037109375,8.968994140625,140
6,0,9,1.7161754829314944,0.988037109375,8.969970703125,140
6,0,10,1.7163030658965808,0.988037109375,8.970458984375,140
7,1,1,2.051316394656275,0.9912109375,10.3814697265625,163
7,1,2,2.0514383597701507,0.9912109375,10.3817138671875,163
7,1,3,2.0516713738173817,0.9912109375,10.381591796875,163
7,1,4,2.050765277901484,0.9912109375,10.383544921875,163
7,1,5,2.0499358754832406,0.9912109375,10.384521484375,163
7,1,6,2.050057693702591,0.9912109375,10.384765625,163
7,1,7,2.0491509843332847,0.9912109375,10.38671875,163
7,1,8,2.0478810083655477,0.9912109375,10.3880615234375,163
7,1,9,2.0473140220502377,0.9912109375,10.3892822265625,163
7,1,10,2.04746116398608,0.9912109375,10.3896484375,163
7,0,1,1.9771837975464472,0.9918212890625,10.459228515625,163
7,0,2,1.9773029558386013,0.9918212890625,10.45947265625,163
7,0,3,1.977535187597777,0.9918212890625,10.4593505859375,163
7,0,4,1.9766206292382755,0.9918212890625,10.4613037109375,163
7,0,5,1.9757897939617302,0.9918212890625,10.4622802734375,163
7,0,6,1.9759088075844602,0.9918212890625,10.4625244140625,163
7,0,7,1.9749936452669334,0.9918212890625,10.4644775390625,163
7,0,8,1.9737226639246914,0.9918212890625,10.4658203125,163
7,0,9,1.973150399090057,0.9918212890625,10.467041015625,163
7,0,10,1.9732936010588116,0.9918212890625,10.4674072265625,163
