tau,paired,seed,fano,detection,mean_weight
3,0,23,0.9331094356619015,0.36,0.42605
3,1,24,0.3881342004511321,0.9042,1.1951
3,0,24,0.9271802928598881,0.35855,0.42325
3,1,25,0.4169567531988109,0.9833,2.7177
3,0,25,0.9203752264500239,0.3633,0.4266
3,1,26,0.2833530293500327,0.9833,1.94105
3,0,26,0.9309472565826873,0.3587,0.423
3,1,27,0.2811187951304012,0.9837,1.9497
3,0,27,0.9447966143044311,0.3515,0.41565
3,1,28,0.3912830885893328,0.9005,1.18785
3,0,28,0.9241058065246012,0.35845,0.4213
3,1,29,0.40098994715446684,0.89595,1.1823
3,0,29,0.9384729207885563,0.35505,0.41995
3,1,30,0.39940858429060067,0.8992,1.18675
3,0,30,0.9318738372427887,0.35145,0.41285
4,1,1,0.3223634163696177,0.987,2.0986
4,0,1,0.9336502507391821,0.44225,0.5577
4,1,2,0.27094033993300576,0.998,2.8515
4,0,2,0.9168358311466536,0.44905,0.56365
4,1,3,0.2751192717604112,0.99775,2.8645
4,0,3,0.9354508523573337,0.44375,0.5613
4,1,4,0.3264454267489494,0.98635,2.09375
4,0,4,0.9198184776963718,0.45025,0.567
4,1,5,0.3298020460824341,0.98705,2.0936
4,0,5,0.9250215038668933,0.451,0.56865
4,1,6,0.32830667887365306,0.98685,2.10215
4,0,6,0.9160237226293022,0.44755,0.56265
4,1,7,0.3321154689518065,0.9867,2.10895
4,0,7,0.9424948146563259,0.44455,0.56275
4,1,8,0.32493698100448465,0.98605,2.0922
4,0,8,0.9493584976630097,0.444,0.56325
4,1,9,0.32851484900971806,0.9867,2.09135
4,0,9,0.9451277319810922,0.4409,0.5593
4,1,10,0.3302638314275666,0.98545,2.0975
4,0,10,0.9384469223461172,0.4439,0.5616
4,1,11,0.3280483618710916,0.98585,2.0914
4,0,11,0.9281383025317356,0.44615,0.56235
4,1,12,0.3218784266173156,0.98725,2.092
4,0,12,0.9327886589769231,0.43875,0.5526
4,1,13,0.26453444946663657,0.998,2.8526
4,0,13,0.9162696535968841,0.44835,0.5604
4,1,14,0.2638545455839717,0.9971,2.8547
4,0,14,0.9313297523283245,0.4481,0.565
4,1,15,0.44175729136665665,0.9875,2.86115
4,0,15,0.9140902561885421,0.4526,0.5699
4,1,16,0.33193159323005866,0.98525,2.0898
4,0,16,0.9138223338046453,0.45295,0.56995
4,1,17,0.3271413719975381,0.98775,2.09325
4,0,17,0.9345877880446238,0.44575,0.5592
4,1,18,0.3309797591948695,0.98705,2.0927
4,0,18,0.9166925550767191,0.4526,0.5702
4,1,19,0.32257188651774477,0.98605,2.0919
4,0,19,0.936320784518064,0.4457,0.5647
4,1,20,0.442922509152545,0.9868,2.8648
4,0,20,0.9207326984950548,0.44115,0.5548
4,1,21,0.32683707245594046,0.98575,2.0969
4,0,21,0.9235296410489816,0.44415,0.5588
4,1,22,0.32512203617250696,0.9843,2.0934
4,0,22,0.9150136318276826,0.45095,0.5654
4,1,23,0.44273311230797163,0.9868,2.8627
4,0,23,0.9403689502857626,0.44595,0.5663
4,1,24,0.32179783558246333,0.98785,2.0943
4,0,24,0.9315025515435145,0.44415,0.5597
4,1,25,0.4488159057344445,0.98635,2.85575
4,0,25,0.9391583503225795,0.4498,0.5688
4,1,26,0.33148840874137186,0.98545,2.10105
4,0,26,0.9150271054013842,0.44895,0.56165
