seed,cell,tau,epsilon,shots,fano_paired,fano_control,detection_paired,mean_weight_paired
8,sq-4x4-16n,5,0.1,20000,0.3798985848096223,1.353025921959391,1.0,23.993
9,hex-r1-7n,5,0.1,20000,0.4299741578329483,1.2268531386875887,1.0,12.01335
9,sq-3x3-9n,5,0.1,20000,0.28781718241800336,1.4625979935311786,1.0,12.00315
9,hex-r2-19n,5,0.1,20000,0.42467741764506634,1.3563509262778972,1.0,42.0059
9,sq-4x4-16n,5,0.1,20000,0.37052996978198094,1.3817148304787612,1.0,23.97935
10,hex-r1-7n,5,0.1,20000,0.32365364751513603,1.147449552842939,1.0,11.99625
10,sq-3x3-9n,5,0.1,20000,0.2732104258046607,1.3849492840041484,1.0,12.0196
10,hex-r2-19n,5,0.1,20000,0.42009790395471114,1.4936517796988755,1.0,42.0208
10,sq-4x4-16n,5,0.1,20000,0.3703056599751992,1.6161827360624004,1.0,23.97745
11,hex-r1-7n,5,0.1,20000,0.31892617523878286,1.1713673592532075,1.0,11.9993
11,sq-3x3-9n,5,0.1,20000,0.37474285146943687,1.6671346492627375,1.0,12.01205
11,hex-r2-19n,5,0.1,20000,0.5593931792961415,1.5495453779789796,1.0,41.98325
11,sq-4x4-16n,5,0.1,20000,0.37612114342504827,1.2779522458837411,1.0,23.9928
12,hex-r1-7n,5,0.1,20000,0.5382147124979042,1.4396319487872948,1.0,12.03555
12,sq-3x3-9n,5,0.1,20000,0.4518782865432041,1.5532777193935554,1.0,11.99885
12,hex-r2-19n,5,0.1,20000,0.4071663025347399,1.316324220978785,1.0,41.9574
12,sq-4x4-16n,5,0.1,20000,0.37405988501629106,1.429604984251359,1.0,23.9471
13,hex-r1-7n,5,0.1,20000,0.28925102358869,1.0240961883547348,1.0,11.99795
13,sq-3x3-9n,5,0.1,20000,0.42667826704549566,2.044854015750433,1.0,11.9953
13,hex-r2-19n,5,0.1,20000,0.42137304957901023,1.3925168387446416,1.0,41.92735
13,sq-4x4-16n,5,0.1,20000,0.3894856492631933,1.5291958175385072,1.0,23.93635
14,hex-r1-7n,5,0.1,20000,0.433025657747884,1.1598432003088197,1.0,12.0031
14,sq-3x3-9n,5,0.1,20000,0.335846569243876,1.6006728341559568,1.0,11.99545
14,hex-r2-19n,5,0.1,20000,0.39320979287955826,1.1939052849973932,1.0,41.98205
14,sq-4x4-16n,5,0.1,20000,0.33254224002543165,1.4161750752021822,1.0,24.0246
15,hex-r1-7n,5,0.1,20000,0.3475878207093368,1.0949394386893199,1.0,12.0276
15,sq-3x3-9n,5,0.1,20000,0.36205517864071873,1.0409424499071795,1.0,11.99695
15,hex-r2-19n,5,0.1,20000,0.5282995721619373,1.3780427142392193,1.0,42.02195
15,sq-4x4-16n,5,0.1,20000,0.33075126727702114,1.3658810148988014,1.0,23.96255
16,hex-r1-7n,5,0.1,20000,0.49571188891355916,1.1503327297564936,1.0,12.01375
16,sq-3x3-9n,5,0.1,20000,0.276972118922185,1.3939289567648454,1.0,11.9941
16,hex-r2-19n,5,0.1,20000,0.4131487026423318,1.5092131319521176,1.0,42.0464
16,sq-4x4-16n,5,0.1,20000,0.33273736994360176,1.6399346855423251,1.0,23.9839
17,hex-r1-7n,5,0.1,20000,0.4858608599332426,1.1784012120598935,1.0,11.9868
17,sq-3x3-9n,5,0.1,20000,0.4319437452797278,1.3291988529491903,1.0,11.97225
17,hex-r2-19n,5,0.1,20000,0.3972943279334479,1.333728835639766,1.0,41.9583
17,sq-4x4-16n,5,0.1,20000,0.3905094425376372,1.4473989125912918,1.0,24.0069
18,hex-r1-7n,5,0.1,20000,0.5428322574851052,1.4341281307889815,1.0,12.03265
18,sq-3x3-9n,5,0.1,20000,0.330412216326373,1.5066653993547114,1.0,11.97005
18,hex-r2-19n,5,0.1,20000,0.38318868924610366,1.3335090162682448,1.0,42.01295
18,sq-4x4-16n,5,0.1,20000,0.3557330081093235,1.3672053826297317,1.0,23.99655
19,hex-r1-7n,5,0.1,20000,0.4378012311894366,1.4477577654577312,1.0,12.0084
19,sq-3x3-9n,5,0.1,20000,0.4917748810540512,1.3295766610409838,1.0,12.0078
19,hex-r2-19n,5,0.1,20000,0.49692056860421113,1.418632422454393,1.0,41.97795
19,sq-4x4-16n,5,0.1,20000,0.37213929805913554,1.3991397627325026,1.0,23.962
20,hex-r1-7n,5,0.1,20000,0.44593964094370186,1.437727267617634,1.0,11.99625
20,sq-3x3-9n,5,0.1,20000,0.3896245670193028,1.0956496089608871,1.0,12.0001
20,hex-r2-19n,5,0.1,20000,0.53892308661621,1.4560192365087006,1.0,42.0413
20,sq-4x4-16n,5,0.1,20000,0.3455118705401277,1.47755518081469,1.0,23.99375
21,hex-r1-7n,5,0.1,20000,0.32022311470751125,1.1830643880051082,1.0,11.994
21,sq-3x3-9n,5,0.1,20000,0.32951186454305637,1.515555005684884,1.0,11.98805
21,hex-r2-19n,5,0.1,20000,0.5224090953651627,1.393019796049379,1.0,41.9616
21,sq-4x4-16n,5,0.1,20000,0.3968473472205761,1.7084469868419152,1.0,23.97895
22,hex-r1-7n,5,0.1,20000,0.6341295852418214,1.4140320581033574,1.0,11.96825
22,sq-3x3-9n,5,0.1,20000,0.34941406332537306,1.4351873364772854,1.0,12.0063
22,hex-r2-19n,5,0.1,20000,0.4534473504433559,1.4690982103428154,1.0,42.013
22,sq-4x4-16n,5,0.1,20000,0.39616368492753623,1.2837137225252313,1.0,24.00275
23,hex-r1-7n,5,0.1,20000,0.6388720761829589,1.4565848734936657,1.0,12.00415
23,sq-3x3-9n,5,0.1,20000,0.3004905251132225,1.2488537734231446,1.0,12.0109
23,hex-r2-19n,5,0.1,20000,0.4491189279875861,1.3302323956236182,1.0,42.00375
23,sq-4x4-16n,5,0.1,20000,0.3683492973020003,1.3213354818535772,1.0,23.99535
24,hex-r1-7n,5,0.1,20000,0.4873828508597858,1.1649401250062146,1.0,12.00995
24,sq-3x3-9n,5,0.1,20000,0.3579032013843426,1.4073666482261227,1.0,12.0255
24,hex-r2-19n,5,0.1,20000,0.3101032402131456,1.2504820029831212,1.0,41.97225
24,sq-4x4-16n,5,0.1,20000,0.35121254861243323,1.248431380567441,1.0,23.99085
