trial,perturbation,P_at_n12,P_at_n13,P_at_n27,P_at_n37,P_at_n39,ZZ_at_n12
35,small,0.6551397911947198,0.6493234224111543,0.6402145309974583,0.9353866134571893,0.8930692296464225,0.3826023229113851
36,shuffle,0.5232287179150223,0.46861150578766597,0.7056873531326802,0.46907220486579787,0.5035716047549137,0.150888174571773
36,random,0.9083307559793605,0.9357414375615687,0.767412451936282,0.7124491094542406,0.6872904817815747,0.81702217283779
36,small,0.7417381125919295,0.7361374488321877,0.8298351419323704,0.8496064106863296,0.8400625049353352,0.5100118631456855
37,shuffle,0.8796523716791542,0.8873393686186448,0.8570067369750178,0.880629459327042,0.9129682954494512,0.7595493928087842
37,random,0.7770010812155214,0.8451637160559937,0.8484437976481043,0.862886922315139,0.7787836667341371,0.5774289598066593
37,small,0.6969950999153359,0.7177956099153804,0.7662756638785394,0.8413646194129974,0.8053747585311334,0.44507822770715283
38,shuffle,0.7005936169767438,0.6577248439781533,0.7381758887877834,0.8855928572175744,0.6892766403196122,0.4020253019900717
38,random,0.5074352975683373,0.511579582584734,0.5682361821187132,0.9340331933118373,0.7787114307336004,0.17500250328721642
38,small,0.6950395786238123,0.7049156140137662,0.7520787300184781,0.8848235336219081,0.8590364743427407,0.44141980657730145
39,shuffle,0.8860264702607863,0.9076065079618924,0.8348377921179904,0.8750751133817208,0.9055338914732393,0.7731142801010207
39,random,0.6630399770048636,0.5939552390735909,0.938574335607266,0.8334973516724982,0.646150792897151,0.32903267936362113
39,small,0.717485961679125,0.7090246718519027,0.606669223402682,0.8277087149918833,0.9030948655148995,0.4816677235484136
40,shuffle,0.7184373784494233,0.7249797944248868,0.8285643526169612,0.8444890214946997,0.6100983323408309,0.46800680791335575
40,random,0.8503396545286145,0.7619834856398349,0.5387481043515066,0.27002984206326097,0.3218298218641148,0.7073231387319887
40,small,0.6620164135362496,0.6689578781521636,0.5611686769636102,0.8075638673145812,0.9127607299405176,0.3923145634245787
41,shuffle,0.40881175384865437,0.38146735091859535,0.04066389767664094,0.010829760440603397,0.13014266816539422,0.046404975833630194
41,random,0.4795492954987967,0.449962731095862,0.5765633599405712,0.77504963158161,0.5269390137362258,0.12477029772355255
41,small,0.7404358924568747,0.7320118693937158,0.621947711909147,0.7572269096905611,0.8173951520393782,0.5186406042642269
42,shuffle,0.7985795738321267,0.7979557464283331,0.8659260712383453,0.8832284455034695,0.6649529389271552,0.616205181489019
42,random,0.8429204647866287,0.898675408947054,0.7704398061992733,0.9443778088352032,0.8514764519022794,0.6982654261475144
42,small,0.701331436984129,0.7097823438017796,0.7287560354409137,0.8921491887679018,0.8372297576852449,0.45298777139384616
43,shuffle,0.5779782924163738,0.5072946779032019,0.812325360058459,0.7255707479277077,0.5163681758104033,0.1757890561507066
43,random,0.8276129689559419,0.8704236644464065,0.7754312657492596,0.8970524685632706,0.7966089435850549,0.6712090393524228
43,small,0.7077715991317196,0.7040205006503586,0.6002408636112523,0.8382203861347025,0.917046074036301,0.4653378468862404
44,shuffle,0.9299661719400056,0.9224105979378037,0.8372380207247401,0.9435724929506765,0.9012106233409809,0.8605596630841357
44,random,0.7916087418079447,0.932635612571115,0.7626504044807703,0.9493248267456221,0.7070012387241095,0.5934167959903853
44,small,0.6870368360556437,0.6744302399298826,0.5398439672340963,0.7493651320909561,0.8622906092222945,0.43216710895862404
45,shuffle,0.3754635347149852,0.3218597942141882,0.13642118801354758,0.03608404466242959,0.19659590422154163,-0.08466513114452424
45,random,0.767194778063024,0.843078442582758,0.5909503934598568,0.9139836092647208,0.5097859673149973,0.5355677103906333
45,small,0.6567890712780268,0.645923020343442,0.5774875690512653,0.8397580184631993,0.9487045057095709,0.38421198813548263
46,shuffle,0.47168982837405016,0.4440173591072292,0.4111842347211984,0.7421092115205749,0.9077822762272889,0.1388884903764741
46,random,0.71173477707741,0.6635818235680933,0.39854055870722255,0.28399776691666173,0.5290805370434197,0.4650692251083111
46,small,0.6999036029806769,0.7029832093697371,0.6927605430317878,0.8966814870276069,0.8933871411173552,0.45071048212546194
47,shuffle,0.5644355048498585,0.5510632666899258,0.6183421198541823,0.4751893336543864,0.6627302666451376,0.21888501080929174
47,random,0.9260405599252562,0.8970975535414123,0.7744255663091929,0.7855521857677666,0.6030022514438627,0.8548537397430576
47,small,0.7514566945539849,0.7518172221842214,0.714383432882968,0.8742782027754807,0.8844079065574342,0.5374158414618724
48,shuffle,0.6850690136356101,0.6588318194948768,0.5859212291741485,0.9129533411846608,0.7443316929899815,0.4285204569282417
48,random,0.5940671023501143,0.7740548525363312,0.6010914516306703,0.6843686452716182,0.6970146666960798,0.2611912188154324
48,small,0.6678222702377619,0.667479272610656,0.626571431066138,0.9033315229277081,0.925567843086637,0.4022470347550575
49,shuffle,0.7555910219979106,0.7595607283495321,0.9341624157087294,0.8181597325959316,0.7861665887497616,0.5134146602278727
49,random,0.9332796937203106,0.9392649516978353,0.9458099545226198,0.9674032393704529,0.958123770138023,0.8669718737628116
49,small,0.6909876810857581,0.6890990787328147,0.6008072572978318,0.8379330868804494,0.9066506409101477,0.4387715135231158
50,shuffle,0.8205403397028695,0.8248287235501349,0.9385982494060845,0.8381202253022728,0.8186162854968031,0.6440009718703064
50,random,0.8193268288299587,0.8062437562285802,0.8055198072457567,0.8168568285214387,0.8274292425739842,0.6392487674165168
50,small,0.7662836367179039,0.7644714758033048,0.7747293062966008,0.8762238952171784,0.889587147046112,0.5609533271854301
51,shuffle,0.7913564839808614,0.7957201371683443,0.7446470947536972,0.667510846150863,0.7357337593357312,0.5856197687572992
51,random,0.6521499773880937,0.7931063932855422,0.6934513690045486,0.7111634807447533,0.8135333637174708,0.35777259891942637
51,small,0.717512973789933,0.7083058478266885,0.6474849899142807,0.8416513062755643,0.8810237666231208,0.48023903526774364
52,shuffle,0.8332234644820222,0.7910731142416727,0.8350379009270312,0.8326667059429957,0.7183971293564038,0.6700876276263357
52,random,0.5814257177258993,0.5575807801852045,0.5123692944325406,0.7567376875029199,0.9018299133651699,0.27500379846243594
52,small,0.6929138760446654,0.6865472655215409,0.6371335649069846,0.9032580488165891,0.9330568955794487,0.4419974442709248
53,shuffle,0.3629319462461577,0.2711791832014263,0.3828182559799458,0.15247384716881782,0.18942991323287395,-0.06903904031304356
53,random,0.8659768115776345,0.8800011836385349,0.556955758797832,0.5618840395653795,0.43674201533825796,0.7355574856787963
53,small,0.7024142638317272,0.6977597400524509,0.6088289457938518,0.8442088069970105,0.9549057402377559,0.45475765908529453
54,shuffle,0.6300144288382901,0.544970899064409,0.4999688432905717,0.8491796985353821,0.9047863009581276,0.3447527924427589
54,random,0.5072470216263377,0.43233053979310143,0.7447933085843111,0.7597004815044811,0.48880080531453624,0.1275657864772414
54,small,0.6679234439455368,0.6691312851453783,0.5768778861036632,0.8316730256888942,0.9389126970227752,0.4019299461963888
55,shuffle,0.6443585914257067,0.5857127442613047,0.7625638596202732,0.8679760612096232,0.7320415695056227,0.2925529919346932
55,random,0.8394326547045154,0.7021442951285644,0.4177187609007202,0.2718751574571936,0.5336372332150793,0.6861297215983189
55,small,0.6073656362252555,0.5887886727334174,0.4332823697648805,0.6406334271895529,0.8368249519687041,0.3065125879017323
56,shuffle,0.7750808990133428,0.7450153254582577,0.7868566076272674,0.9535428130527625,0.660988692273177,0.5786993459110069
